year,muni_code,muni,financial_strength_index_2016,rev_to_exp_ratio_2016,exp_public_works_thous_2016
2016,01100,Hokkaido Sapporo-shi,0.73,1.40,"131,442,999.00"
2016,01101,Hokkaido Sapporo-shi Chuo-ku,,,
2016,01102,Hokkaido Sapporo-shi Kita-ku,,,
2016,01103,Hokkaido Sapporo-shi Higashi-ku,,,
2016,01104,Hokkaido Sapporo-shi Shiroishi-ku,,,
2016,01105,Hokkaido Sapporo-shi Toyohira-ku,,,
2016,01106,Hokkaido Sapporo-shi Minami-ku,,,
2016,01107,Hokkaido Sapporo-shi Nishi-ku,,,
2016,01108,Hokkaido Sapporo-shi Atsubetsu-ku,,,
2016,01109,Hokkaido Sapporo-shi Teine-ku,,,
2016,01110,Hokkaido Sapporo-shi Kiyota-ku,,,
2016,01202,Hokkaido Hakodate-shi,0.46,2.10,"13,050,069.00"
2016,01203,Hokkaido Otaru-shi,0.43,2.10,"6,730,055.00"
2016,01204,Hokkaido Asahikawa-shi,0.51,1.50,"18,514,598.00"
2016,01205,Hokkaido Muroran-shi,0.61,2.50,"5,423,950.00"
2016,01206,Hokkaido Kushiro-shi,0.45,1.20,"11,676,167.00"
2016,01207,Hokkaido Obihiro-shi,0.57,0.90,"7,635,296.00"
2016,01208,Hokkaido Kitami-shi,0.45,0.40,"10,682,958.00"
2016,01209,Hokkaido Yubari-shi,0.18,19.60,"1,392,382.00"
2016,01210,Hokkaido Iwamizawa-shi,0.38,0.50,"8,585,125.00"
2016,01211,Hokkaido Abashiri-shi,0.41,0.90,"3,445,161.00"
2016,01212,Hokkaido Rumoi-shi,0.32,3.90,"2,512,516.00"
2016,01213,Hokkaido Tomakomai-shi,0.77,3.00,"9,728,503.00"
2016,01214,Hokkaido Wakkanai-shi,0.37,0.80,"2,954,078.00"
2016,01215,Hokkaido Bibai-shi,0.26,4.90,"2,015,830.00"
2016,01216,Hokkaido Ashibetsu-shi,0.25,0.10,"1,017,762.00"
2016,01217,Hokkaido Ebetsu-shi,0.53,1.80,"5,996,944.00"
2016,01218,Hokkaido Akabira-shi,0.21,5.90,"1,347,657.00"
2016,01219,Hokkaido Mombetsu-shi,0.30,5.30,"2,659,120.00"
2016,01220,Hokkaido Shibetsu-shi,0.26,3.60,"2,021,229.00"
2016,01221,Hokkaido Nayoro-shi,0.27,2.80,"2,413,471.00"
2016,01222,Hokkaido Mikasa-shi,0.19,3.20,"1,402,170.00"
2016,01223,Hokkaido Nemuro-shi,0.33,0.60,"1,615,723.00"
2016,01224,Hokkaido Chitose-shi,0.78,2.20,"5,233,413.00"
2016,01225,Hokkaido Takikawa-shi,0.38,5.00,"3,064,704.00"
2016,01226,Hokkaido Sunagawa-shi,0.31,6.10,"2,236,648.00"
2016,01227,Hokkaido Utashinai-shi,0.11,5.30,"688,266.00"
2016,01228,Hokkaido Fukagawa-shi,0.25,2.70,"1,855,813.00"
2016,01229,Hokkaido Furano-shi,0.34,2.40,"1,843,319.00"
2016,01230,Hokkaido Noboribetsu-shi,0.46,3.90,"2,159,442.00"
2016,01231,Hokkaido Eniwa-shi,0.57,5.30,"3,983,186.00"
2016,01233,Hokkaido Date-shi,0.39,6.80,"2,798,545.00"
2016,01234,Hokkaido Kitahiroshima-shi,0.64,2.70,"3,206,559.00"
2016,01235,Hokkaido Ishikari-shi,0.51,2.50,"4,721,851.00"
2016,01236,Hokkaido Hokuto-shi,0.46,3.70,"2,351,639.00"
2016,01303,Hokkaido Tobetsu-cho,0.34,4.10,"1,132,674.00"
2016,01304,Hokkaido Shinshinotsu-mura,0.18,4.00,"312,061.00"
2016,01331,Hokkaido Matsumae-cho,0.18,5.40,"349,579.00"
2016,01332,Hokkaido Fukushima-cho,0.19,3.20,"338,489.00"
2016,01333,Hokkaido Shiriuchi-cho,0.25,2.00,"349,803.00"
2016,01334,Hokkaido Kikonai-cho,0.18,0.10,"665,854.00"
2016,01337,Hokkaido Nanae-cho,0.44,3.00,"1,873,339.00"
2016,01343,Hokkaido Shikabe-cho,0.25,6.70,"207,763.00"
2016,01345,Hokkaido Mori-machi,0.29,1.20,"811,439.00"
2016,01346,Hokkaido Yakumo-cho,0.27,8.40,"1,600,912.00"
2016,01347,Hokkaido Oshamambe-cho,0.21,3.90,"626,123.00"
2016,01361,Hokkaido Esashi-cho,0.28,5.40,"512,253.00"
2016,01362,Hokkaido Kaminokuni-cho,0.15,15.20,"1,093,304.00"
2016,01363,Hokkaido Assabu-cho,0.16,2.50,"242,972.00"
2016,01364,Hokkaido Otobe-cho,0.13,4.50,"290,019.00"
2016,01367,Hokkaido Okushiri-cho,0.14,1.60,"493,531.00"
2016,01370,Hokkaido Imakane-cho,0.17,0.90,"635,249.00"
2016,01371,Hokkaido Setana-cho,0.14,6.40,"813,990.00"
2016,01391,Hokkaido Shimamaki-mura,0.08,3.10,"179,383.00"
2016,01392,Hokkaido Suttsu-cho,0.13,2.10,"354,037.00"
2016,01393,Hokkaido Kuromatsunai-cho,0.13,7.50,"487,262.00"
2016,01394,Hokkaido Rankoshi-cho,0.17,9.70,"564,328.00"
2016,01395,Hokkaido Niseko-cho,0.25,6.20,"493,405.00"
2016,01396,Hokkaido Makkari-mura,0.14,6.80,"573,000.00"
2016,01397,Hokkaido Rusutsu-mura,0.22,2.10,"543,026.00"
2016,01398,Hokkaido Kimobetsu-cho,0.17,3.00,"386,425.00"
2016,01399,Hokkaido Kyogoku-cho,0.55,10.20,"942,254.00"
2016,01400,Hokkaido Kutchan-cho,0.48,5.90,"1,350,524.00"
