muni_code,muni,muni_en
01100,札幌市,Hokkaido Sapporo-shi
01202,函館市,Hokkaido Hakodate-shi
01203,小樽市,Hokkaido Otaru-shi
01204,旭川市,Hokkaido Asahikawa-shi
01205,室蘭市,Hokkaido Muroran-shi
01206,釧路市,Hokkaido Kushiro-shi
01207,帯広市,Hokkaido Obihiro-shi
01208,北見市,Hokkaido Kitami-shi
01209,夕張市,Hokkaido Yubari-shi
01210,岩見沢市,Hokkaido Iwamizawa-shi
01211,網走市,Hokkaido Abashiri-shi
01212,留萌市,Hokkaido Rumoi-shi
01213,苫小牧市,Hokkaido Tomakomai-shi
01214,稚内市,Hokkaido Wakkanai-shi
01215,美唄市,Hokkaido Bibai-shi
01216,芦別市,Hokkaido Ashibetsu-shi
01217,江別市,Hokkaido Ebetsu-shi
01218,赤平市,Hokkaido Akabira-shi
01219,紋別市,Hokkaido Mombetsu-shi
01220,士別市,Hokkaido Shibetsu-shi
01221,名寄市,Hokkaido Nayoro-shi
01222,三笠市,Hokkaido Mikasa-shi
01223,根室市,Hokkaido Nemuro-shi
01224,千歳市,Hokkaido Chitose-shi
01225,滝川市,Hokkaido Takikawa-shi
01226,砂川市,Hokkaido Sunagawa-shi
01227,歌志内市,Hokkaido Utashinai-shi
01228,深川市,Hokkaido Fukagawa-shi
01229,富良野市,Hokkaido Furano-shi
01230,登別市,Hokkaido Noboribetsu-shi
01231,恵庭市,Hokkaido Eniwa-shi
01233,伊達市,Hokkaido Date-shi
01234,北広島市,Hokkaido Kitahiroshima-shi
01235,石狩市,Hokkaido Ishikari-shi
01236,北斗市,Hokkaido Hokuto-shi
01303,当別町,Hokkaido Tobetsu-cho
01304,新篠津村,Hokkaido Shinshinotsu-mura
01331,松前町,Hokkaido Matsumae-cho
01332,福島町,Hokkaido Fukushima-cho
01333,知内町,Hokkaido Shiriuchi-cho
01334,木古内町,Hokkaido Kikonai-cho
01337,七飯町,Hokkaido Nanae-cho
01343,鹿部町,Hokkaido Shikabe-cho
01345,森町,Hokkaido Mori-machi
01346,八雲町,Hokkaido Yakumo-cho
01347,長万部町,Hokkaido Oshamambe-cho
01361,江差町,Hokkaido Esashi-cho
01362,上ノ国町,Hokkaido Kaminokuni-cho
01363,厚沢部町,Hokkaido Assabu-cho
01364,乙部町,Hokkaido Otobe-cho
01367,奥尻町,Hokkaido Okushiri-cho
01370,今金町,Hokkaido Imakane-cho
01371,せたな町,Hokkaido Setana-cho
01391,島牧村,Hokkaido Shimamaki-mura
01392,寿都町,Hokkaido Suttsu-cho
01393,黒松内町,Hokkaido Kuromatsunai-cho
01394,蘭越町,Hokkaido Rankoshi-cho
01395,ニセコ町,Hokkaido Niseko-cho
01396,真狩村,Hokkaido Makkari-mura
01397,留寿都村,Hokkaido Rusutsu-mura
01398,喜茂別町,Hokkaido Kimobetsu-cho
01399,京極町,Hokkaido Kyogoku-cho
01400,倶知安町,Hokkaido Kutchan-cho
01401,共和町,Hokkaido Kyowa-cho
01402,岩内町,Hokkaido Iwanai-cho
01403,泊村,Hokkaido Tomari-mura
01404,神恵内村,Hokkaido Kamoenai-mura
01405,積丹町,Hokkaido Shakotan-cho
01406,古平町,Hokkaido Furubira-cho
01407,仁木町,Hokkaido Niki-cho
01408,余市町,Hokkaido Yoichi-cho
01409,赤井川村,Hokkaido Akaigawa-mura
01423,南幌町,Hokkaido Nanporo-cho
01424,奈井江町,Hokkaido Naie-cho
01425,上砂川町,Hokkaido Kamisunagawa-cho
01427,由仁町,Hokkaido Yuni-cho
01428,長沼町,Hokkaido Naganuma-cho
01429,栗山町,Hokkaido Kuriyama-cho
01430,月形町,Hokkaido Tsukigata-cho
01431,浦臼町,Hokkaido Urausu-cho
01432,新十津川町,Hokkaido Shintotsukawa-cho
01433,妹背牛町,Hokkaido Moseushi-cho
01434,秩父別町,Hokkaido Chippubetsu-cho
01436,雨竜町,Hokkaido Uryu-cho
01437,北竜町,Hokkaido Hokuryu-cho
01438,沼田町,Hokkaido Numata-cho
01452,鷹栖町,Hokkaido Takasu-cho
01453,東神楽町,Hokkaido Higashikagura-cho
01454,当麻町,Hokkaido Tohma-cho
01455,比布町,Hokkaido Pippu-cho
01456,愛別町,Hokkaido Aibetsu-cho
01457,上川町,Hokkaido Kamikawa-cho
01458,東川町,Hokkaido Higashikawa-cho
01459,美瑛町,Hokkaido Biei-cho
01460,上富良野町,Hokkaido Kamifurano-cho
01461,中富良野町,Hokkaido Nakafurano-cho
01462,南富良野町,Hokkaido Minamifurano-cho
01463,占冠村,Hokkaido Shimukappu-mura
01464,和寒町,Hokkaido Wassamu-cho
01465,剣淵町,Hokkaido Kembuchi-cho
01468,下川町,Hokkaido Shimokawa-cho
01469,美深町,Hokkaido Bifuka-cho
01470,音威子府村,Hokkaido Otoineppu-mura
01471,中川町,Hokkaido Nakagawa-cho
01472,幌加内町,Hokkaido Horokanai-cho
01481,増毛町,Hokkaido Mashike-cho
01482,小平町,Hokkaido Obira-cho
01483,苫前町,Hokkaido Tomamae-cho
01484,羽幌町,Hokkaido Haboro-cho
01485,初山別村,Hokkaido Shosambetsu-mura
01486,遠別町,Hokkaido Embetsu-cho
01487,天塩町,Hokkaido Teshio-cho
01511,猿払村,Hokkaido Sarufutsu-mura
